id,control,cultivar,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
82,br_Chardonnay,Chardonnay,4812743,3836555,4916344,6347044,6174156,5821514,7253167,3070142,7856910,6068902,0.0,6514864,4200465,0.0,8315602.19
83,br_Chasselas,Chasselas,32425,47099,29543,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
84,br_Chenin Blanc,Chenin Blanc,347230,73720,212900,257090,264090,146760,173321,60580,266524,387360,0.0,465377,49100,0.0,298406.0
85,br_Clairette(1),Clairette(1),0,0,949,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
86,br_Colombard,Colombard,717624,479201,445104,773273,673158,563589,512199,201659,535573,522866,0.0,467614,97713,0.0,374902.95
87,br_Flora,Flora,131760,35860,37620,68260,72410,45240,25090,1050,5810,2060,0.0,0,0,0.0,0.0
88,br_Garganega,Garganega,3170,0,0,0,0,0,0,0,0,0,0.0,540,439160,0.0,400.0
89,br_Gewurztraminer,Gewurztraminer,155338,105186,206833,327678,239469,162083,207303,85385,223350,208171,0.0,192058,3201453,0.0,239070.0
90,br_Gouveio,Gouveio,7830,4358,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
91,br_Gros Manseng,Gros Manseng,3289,4430,7220,0,4640,4830,7410,0,5680,2430,0.0,6296,0,0.0,4510.0
92,br_Italia (Pirovano 65) (PE),Italia (Pirovano 65) (PE),2650,2230,6405,61799,5671,40230,37820,0,180,2942,0.0,200,1858705,0.0,10350.0
93,br_Maccabeo,Maccabeo,0,0,0,0,3558,0,17670,0,0,0,0.0,0,0,0.0,0.0
94,br_Malvasia,Malvasia,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
95,br_Malvasia Amarela,Malvasia Amarela,153905,251587,107015,115147,519959,149663,119930,10100,44445,52936,0.0,24440,3980,0.0,67467.0
96,br_Malvasia Bianca,Malvasia Bianca,281064,49176,138608,119122,184949,414603,602081,217177,629101,574521,0.0,494343,1165104,0.0,80786.24
97,br_Malvasia Chianti,Malvasia Chianti,0,2142,0,0,5061,7632,0,1314,0,0,0.0,0,0,0.0,0.0
98,br_Malvasia Verde,Malvasia Verde,331718,83565,60776,10979,18690,8825,5108,2460,10457,15220,0.0,26597,3578,0.0,46510.0
99,br_Malvasia di Candia,Malvasia di Candia,739588,649194,1727224,1825193,1692882,1888539,2512864,1268750,2785543,2557871,0.0,3389071,1544223,0.0,6869070.67
100,br_Malvasia Istriana,Malvasia Istriana,0,0,0,0,0,0,0,0,0,0,0.0,1090,950,0.0,0.0
101,br_Mistura de uvas viníferas,Mistura de uvas viníferas branco,0,0,0,0,0,0,0,0,0,0,0.0,0,12278,0.0,41078.0
102,br_Mistura de uvas viníferas,Mistura de uvas viníferas rosado,0,0,0,0,0,0,0,0,0,0,0.0,0,325922,0.0,1100.0
103,br_Moscato_branco,Moscato Branco,14294841,8595609,16871284,13322429,13136399,12669980,12788740,6068181,14475142,11202231,0.0,11868851,12100995,0.0,20657082.42
104,br_Moscato Canelli,Moscato Canelli,61009,55811,92887,123255,64800,85785,72462,30378,57083,121008,0.0,138482,109714,0.0,351554.75
105,br_Moscato Giallo,Moscato Giallo,1446926,1151570,1949920,1641498,1813522,1742605,1785956,813952,2091933,1590531,0.0,1597829,6365205,0.0,3111774.33
106,br_Moscato Nazareno,Moscato Nazareno,858910,690210,882104,633606,831206,886808,886075,361638,890655,639810,0.0,554762,77912,0.0,504982.0
107,br_Moscato Bianco R2,Moscato Bianco R2,510594,317404,808748,618266,678267,770265,863910,257647,868260,867445,0.0,864917,2920047,0.0,1211053.08
108,br_Moscato de Alexandria,Moscato de Alexandria,87359,41426,105384,184748,211532,160290,192945,53037,115910,95647,0.0,153442,431897,0.0,404111.0
109,br_Moscato Rosado,Moscato Rosado,0,2396,7617,0,0,0,0,0,0,0,0.0,500,15030,0.0,900.0
110,br_Muscat a Petits Grains,Muscat à Petits Grains,0,0,0,0,0,0,0,0,0,3000,0.0,8030,895346,0.0,6000.0
